12.000	1.000   0.00074      9.450	1.000   0.00085     18.435	1.000   0.00090     27.805
12.050	1.000   0.00081      9.365	1.000   0.00078     18.235	1.000   0.00087     29.175
12.100	1.000   0.00064      9.380	1.000   0.00078     17.615	1.000   0.00083     26.730
12.150	1.000   0.00077      9.165	1.000   0.00076     17.615	1.000   0.00084     28.815
12.200	1.000   0.00068      9.425	1.000   0.00078     18.505	1.000   0.00081     29.990
12.250	1.000   0.00065      9.240	1.000   0.00075     18.625	1.000   0.00088     30.545
12.300	1.000   0.00065      9.225	1.000   0.00075     19.215	1.000   0.00092     30.025
12.350	1.000   0.00075      9.265	1.000   0.00071     19.030	1.000   0.00088     29.710
12.400	1.000   0.00069      9.875	1.000   0.00079     18.330	1.000   0.00094     28.340
12.450	1.000   0.00068      9.330	1.000   0.00087     19.370	1.000   0.00095     28.790
12.500	1.000   0.00069      9.805	1.000   0.00085     18.895	1.000   0.00093     31.075
12.550	1.000   0.00064      8.950	1.000   0.00073     19.085	1.000   0.00092     29.140
12.600	1.000   0.00071      9.650	1.000   0.00075     20.220	1.000   0.00095     33.240
12.650	1.000   0.00074      9.715	1.000   0.00075     19.690	1.000   0.00096     29.890
12.700	1.000   0.00079      9.685	1.000   0.00077     20.730	1.000   0.00084     32.770
12.750	1.000   0.00073      9.495	1.000   0.00081     20.785	1.000   0.00102     33.965
12.800	1.000   0.00053     10.180	1.000   0.00071     19.720	1.000   0.00101     30.790
12.850	1.000   0.00061      9.945	1.000   0.00078     19.655	1.000   0.00095     33.275
12.900	1.000   0.00092      9.720	1.000   0.00076     20.265	1.000   0.00105     33.960
12.950	1.000   0.00068      9.930	1.000   0.00077     19.595	1.000   0.00111     38.065
13.000	1.000   0.00088      9.835	1.000   0.00072     21.285	1.000   0.00091     33.620
13.050	1.000   0.00107     10.065	1.000   0.00077     21.165	1.000   0.00097     35.375
13.100	1.000   0.00088      9.955	1.000   0.00078     21.955	1.000   0.00093     34.485
13.150	1.000   0.00088      9.935	1.000   0.00077     19.245	1.000   0.00088     37.880
13.200	1.000   0.00090      9.965	1.000   0.00085     21.010	1.000   0.00096     37.885
13.250	1.000   0.00079      9.930	1.000   0.00088     20.685	1.000   0.00087     38.235
13.300	1.000   0.00073     10.365	1.000   0.00086     23.225	1.000   0.00099     42.690
13.350	1.000   0.00070      9.720	1.000   0.00102     23.740	1.000   0.00090     42.020
13.400	1.000   0.00073      9.915	1.000   0.00096     24.025	1.000   0.00082     38.865
13.450	1.000   0.00061      9.750	1.000   0.00079     23.900	1.000   0.00091     44.485
13.500	1.000   0.00061     10.090	1.000   0.00094     22.760	1.000   0.00092     40.820
13.550	1.000   0.00074     10.170	1.000   0.00088     21.695	1.000   0.00096     41.580
13.600	1.000   0.00073     10.170	1.000   0.00079     22.155	1.000   0.00096     47.395
13.650	1.000   0.00074     10.710	1.000   0.00088     21.615	1.000   0.00092     46.795
13.700	1.000   0.00074     10.585	1.000   0.00088     22.800	1.000   0.00105     39.545
13.750	1.000   0.00070     10.305	1.000   0.00089     23.835	1.000   0.00102     42.695
13.800	1.000   0.00072      9.825	1.000   0.00083     26.055	1.000   0.00089     43.935
13.850	1.000   0.00073     10.335	1.000   0.00088     23.825	1.000   0.00096     45.075
13.900	1.000   0.00071     10.835	1.000   0.00082     24.175	1.000   0.00097     44.970
13.950	1.000   0.00065     10.835	1.000   0.00091     24.580	1.000   0.00099     45.790
14.000	1.000   0.00074     11.010	1.000   0.00086     24.465	1.000   0.00108     43.765
14.050	1.000   0.00070     10.135	1.000   0.00087     26.735	1.000   0.00091     47.745
14.100	1.000   0.00075     10.735	1.000   0.00086     24.895	1.000   0.00103     50.400
14.150	1.000   0.00070     10.475	1.000   0.00081     25.580	1.000   0.00100     49.510
14.200	1.000   0.00079     11.265	1.000   0.00083     28.030	1.000   0.00098     43.885
14.250	0.995   0.00071     10.365	1.000   0.00087     26.825	1.000   0.00107     50.620
14.300	1.000   0.00079     11.045	1.000   0.00076     27.180	1.000   0.00106     54.610
14.350	1.000   0.00070     10.930	1.000   0.00083     26.185	1.000   0.00102     54.695
14.400	1.000   0.00074     11.225	1.000   0.00088     29.640	1.000   0.00105     58.585
14.450	1.000   0.00073     10.855	1.000   0.00081     27.125	1.000   0.00092     52.315
14.500	0.990   0.00080     11.175	1.000   0.00091     27.295	1.000   0.00096     51.305
14.550	1.000   0.00077     11.210	1.000   0.00089     29.380	1.000   0.00098     56.770
14.600	1.000   0.00077     11.640	1.000   0.00086     30.030	1.000   0.00108     64.210
14.650	1.000   0.00074     11.765	1.000   0.00085     27.785	1.000   0.00105     56.230
14.700	1.000   0.00071     10.525	1.000   0.00077     29.070	1.000   0.00109     68.515
14.750	1.000   0.00070     11.535	1.000   0.00078     28.640	1.000   0.00104     61.665
14.800	1.000   0.00067     11.390	1.000   0.00093     30.275	1.000   0.00110     70.225
14.850	0.995   0.00075     11.350	1.000   0.00083     31.975	1.000   0.00108     68.260
14.900	1.000   0.00074     11.235	1.000   0.00088     30.165	1.000   0.00106     67.305
14.950	0.995   0.00070     11.525	1.000   0.00079     30.110	1.000   0.00103     70.965
15.000	0.995   0.00079     12.495	1.000   0.00094     31.890	1.000   0.00105     67.590
15.050	1.000   0.00074     12.775	1.000   0.00088     34.260	1.000   0.00102     76.920
15.100	1.000   0.00076     11.600	1.000   0.00092     34.015	1.000   0.00113     75.775
15.150	0.995   0.00077     11.245	1.000   0.00094     36.700	1.000   0.00114     78.330
15.200	0.995   0.00074     12.375	1.000   0.00093     33.280	1.000   0.00110     77.985
15.250	0.995   0.00071     12.495	1.000   0.00087     32.205	1.000   0.00102     78.515
15.300	0.995   0.00078     12.720	1.000   0.00088     33.855	1.000   0.00113     80.800
15.350	1.000   0.00076     12.110	1.000   0.00085     36.320	1.000   0.00107     92.045
15.400	1.000   0.00079     11.735	1.000   0.00089     36.085	1.000   0.00110     76.120
15.450	0.990   0.00082     12.270	1.000   0.00100     39.500	1.000   0.00113     92.930
15.500	0.990   0.00072     11.850	1.000   0.00090     41.030	1.000   0.00123     95.565
15.550	1.000   0.00072     12.000	1.000   0.00087     39.775	1.000   0.00123     96.075
15.600	1.000   0.00074     11.800	1.000   0.00090     34.690	1.000   0.00108     80.460
15.650	1.000   0.00079     11.800	1.000   0.00088     39.300	1.000   0.00109    100.585
15.700	0.990   0.00079     12.550	1.000   0.00089     40.515	1.000   0.00117     93.590
15.750	0.995   0.00075     12.200	1.000   0.00091     39.925	1.000   0.00120     93.590
15.800	1.000   0.00074     12.310	1.000   0.00090     43.815	1.000   0.00116    113.605
15.850	1.000   0.00077     12.380	1.000   0.00087     40.565	1.000   0.00123    115.515
15.900	0.995   0.00073     12.420	1.000   0.00086     40.230	1.000   0.00124    112.250
15.950	0.995   0.00071     12.310	1.000   0.00085     40.810	1.000   0.00115    124.820
16.000	0.990   0.00073     13.025	1.000   0.00085     40.070	1.000   0.00130    118.090
16.050	0.985   0.00079     12.575	1.000   0.00089     41.465	1.000   0.00123    111.005
16.100	1.000   0.00079     12.370	1.000   0.00096     45.510	1.000   0.00124    124.750
16.150	0.985   0.00073     13.645	1.000   0.00085     44.205	1.000   0.00117    110.725
16.200	1.000   0.00077     13.430	1.000   0.00088     46.730	1.000   0.00128    139.060
16.250	0.995   0.00075     13.000	1.000   0.00070     45.145	1.000   0.00130    132.660
16.300	0.995   0.00072     14.040	1.000   0.00091     49.085	1.000   0.00130    122.435
16.350	0.980   0.00081     14.495	1.000   0.00090     46.050	1.000   0.00132    136.820
16.400	0.985   0.00073     13.195	1.000   0.00099     49.005	1.000   0.00126    117.540
16.450	0.995   0.00073     12.875	1.000   0.00099     49.845	1.000   0.00161    135.510
16.500	0.995   0.00078     13.870	1.000   0.00093     53.170	1.000   0.00160    154.110
16.550	0.990   0.00072     13.850	1.000   0.00090     50.645	1.000   0.00160    141.230
16.600	1.000   0.00077     14.390	1.000   0.00088     50.680	1.000   0.00151    141.385
16.650	0.995   0.00080     13.285	1.000   0.00086     51.010	1.000   0.00157    150.325
16.700	0.990   0.00076     14.280	1.000   0.00097     55.630	1.000   0.00149    154.170
16.750	0.980   0.00090     13.775	1.000   0.00103     54.805	1.000   0.00170    180.500
16.800	0.985   0.00076     13.255	1.000   0.00109     54.545	1.000   0.00164    172.665
16.850	0.990   0.00081     13.270	1.000   0.00099     52.615	1.000   0.00158    179.425
16.900	0.990   0.00071     13.840	1.000   0.00102     61.805	1.000   0.00150    179.210
16.950	0.980   0.00075     13.945	1.000   0.00100     61.935	1.000   0.00151    195.315
17.000	0.970   0.00074     13.790	1.000   0.00110     66.635	1.000   0.00148    178.790
17.050	0.980   0.00091     13.970	1.000   0.00100     59.820	1.000   0.00148    202.175
17.100	0.980   0.00079     14.290	0.995   0.00096     66.875	1.000   0.00150    179.660
17.150	0.955   0.00083     14.370	1.000   0.00096     68.710	1.000   0.00155    212.515
17.200	0.945   0.00069     14.140	1.000   0.00096     59.630	1.000   0.00162    221.775
17.250	0.955   0.00079     14.510	1.000   0.00105     68.545	1.000   0.00151    196.715
17.300	0.965   0.00082     13.765	1.000   0.00100     68.025	1.000   0.00145    207.050
17.350	0.960   0.00081     15.430	1.000   0.00100     65.325	1.000   0.00172    242.485
17.400	0.975   0.00077     14.400	1.000   0.00100     64.455	1.000   0.00158    224.190
17.450	0.980   0.00072     13.765	1.000   0.00104     77.360	1.000   0.00164    223.715
17.500	0.960   0.00079     14.090	0.995   0.00092     70.135	1.000   0.00167    241.990
17.550	0.970   0.00078     14.130	1.000   0.00101     67.595	1.000   0.00170    260.160
17.600	0.945   0.00078     15.010	0.990   0.00100     69.445	1.000   0.00178    275.545
17.650	0.920   0.00076     15.055	1.000   0.00099     74.405	1.000   0.00178    260.485
17.700	0.920   0.00075     16.210	0.995   0.00105     78.650	1.000   0.00174    262.020
17.750	0.935   0.00077     14.575	0.995   0.00110     73.270	1.000   0.00164    265.755
17.800	0.950   0.00073     15.760	0.980   0.00103     80.815	1.000   0.00182    305.135
17.850	0.940   0.00080     15.175	0.995   0.00108     80.780	1.000   0.00177    296.820
17.900	0.945   0.00080     15.505	0.990   0.00101     80.850	1.000   0.00183    290.285
17.950	0.925   0.00077     14.935	1.000   0.00106     81.735	1.000   0.00194    317.575
18.000	0.965   0.00072     15.490	0.985   0.00101     93.750	1.000   0.00219    387.545
18.050	0.930   0.00081     16.035	0.980   0.00096     80.860	1.000   0.00175    289.400
18.100	0.915   0.00086     15.710	0.955   0.00114     94.695	1.000   0.00208    376.025
18.150	0.890   0.00077     15.990	0.985   0.00113     85.795	1.000   0.00194    344.440
18.200	0.915   0.00072     16.255	0.975   0.00120    109.575	1.000   0.00179    308.220
18.250	0.915   0.00090     16.235	0.985   0.00111     91.845	0.990   0.00226    419.680
18.300	0.925   0.00081     16.075	0.980   0.00115     90.965	0.995   0.00221    410.125
18.350	0.925   0.00098     15.125	0.960   0.00120    105.440	0.995   0.00201    366.695
18.400	0.870   0.00089     16.405	0.970   0.00112    100.020	1.000   0.00236    445.420
18.450	0.935   0.00085     15.610	0.985   0.00120    102.605	1.000   0.00240    479.245
18.500	0.920   0.00087     15.840	0.985   0.00119     97.910	1.000   0.00259    536.155
18.550	0.930   0.00086     15.470	0.960   0.00125    100.990	1.000   0.00235    472.100
18.600	0.905   0.00081     16.495	0.980   0.00110     95.290	0.995   0.00240    483.930
18.650	0.940   0.00081     15.545	0.940   0.00112    106.725	0.990   0.00254    532.050
18.700	0.860   0.00080     16.335	0.955   0.00108    112.820	0.995   0.00259    538.105
18.750	0.920   0.00073     15.810	0.935   0.00117    103.450	0.990   0.00281    581.785
18.800	0.850   0.00083     17.545	0.960   0.00116    110.965	0.985   0.00289    624.920
18.850	0.860   0.00080     16.575	0.965   0.00108    108.595	1.000   0.00255    503.115
18.900	0.900   0.00076     15.900	0.955   0.00120    124.265	0.990   0.00281    598.780
18.950	0.845   0.00085     16.500	0.945   0.00123    130.265	0.995   0.00260    539.425
19.000	0.860   0.00084     17.660	0.935   0.00123    118.615	0.970   0.00296    645.310
19.050	0.835   0.00082     17.350	0.940   0.00117    119.760	0.970   0.00321    722.510
19.100	0.855   0.00082     16.425	0.940   0.00121    130.925	0.980   0.00340    784.975
19.150	0.895   0.00073     16.700	0.890   0.00116    134.680	0.985   0.00299    645.185
19.200	0.835   0.00074     18.070	0.920   0.00124    125.150	0.965   0.00299    650.400
19.250	0.825   0.00072     16.680	0.945   0.00121    121.175	0.960   0.00348    808.650
19.300	0.830   0.00069     18.675	0.880   0.00116    130.875	0.945   0.00356    826.435
19.350	0.850   0.00070     16.790	0.885   0.00117    141.015	0.960   0.00338    770.750
19.400	0.810   0.00088     18.495	0.855   0.00139    142.465	0.955   0.00356    853.420
19.450	0.795   0.00083     17.480	0.890   0.00133    138.020	0.955   0.00361    832.975
19.500	0.870   0.00091     16.670	0.885   0.00141    143.785	0.930   0.00390    898.285
19.550	0.790   0.00086     17.155	0.940   0.00123    129.595	0.930   0.00403    952.235
19.600	0.790   0.00082     18.575	0.855   0.00128    145.275	0.940   0.00373    873.540
