3.000	1.000   0.00068     20.310	1.000   0.00085     36.885	1.000   0.00113     69.535
3.025	1.000   0.00067     20.195	1.000   0.00082     37.025	1.000   0.00107     70.420
3.050	1.000   0.00067     20.265	1.000   0.00083     37.080	1.000   0.00111     73.060
3.075	1.000   0.00062     20.540	1.000   0.00084     38.055	1.000   0.00116     72.895
3.100	1.000   0.00072     20.330	1.000   0.00073     38.460	1.000   0.00106     71.765
3.125	1.000   0.00067     20.795	1.000   0.00089     39.100	1.000   0.00115     75.585
3.150	1.000   0.00069     20.375	1.000   0.00082     39.910	1.000   0.00114     79.900
3.175	1.000   0.00070     19.950	1.000   0.00092     38.540	1.000   0.00108     82.820
3.200	1.000   0.00071     21.270	1.000   0.00087     40.385	1.000   0.00101     80.275
3.225	1.000   0.00065     21.645	1.000   0.00085     40.700	1.000   0.00114     81.240
3.250	1.000   0.00068     21.330	1.000   0.00088     40.275	1.000   0.00108     90.165
3.275	1.000   0.00074     22.605	1.000   0.00088     43.675	1.000   0.00114     90.755
3.300	1.000   0.00061     21.480	1.000   0.00082     45.615	1.000   0.00132    101.005
3.325	1.000   0.00066     22.510	1.000   0.00084     44.475	1.000   0.00133    110.570
3.350	1.000   0.00075     22.695	1.000   0.00078     47.895	1.000   0.00124    119.330
3.375	1.000   0.00073     23.135	1.000   0.00083     47.960	1.000   0.00142    117.685
3.400	1.000   0.00059     22.505	1.000   0.00086     50.875	1.000   0.00138    121.545
3.425	1.000   0.00086     23.295	1.000   0.00077     48.380	1.000   0.00135    132.180
3.450	1.000   0.00098     24.295	1.000   0.00077     50.385	1.000   0.00148    161.645
3.475	1.000   0.00118     24.035	1.000   0.00084     58.175	1.000   0.00151    157.390
3.500	1.000   0.00077     24.265	1.000   0.00072     60.880	1.000   0.00161    189.370
3.525	1.000   0.00077     25.985	1.000   0.00088     63.315	1.000   0.00172    219.150
3.550	1.000   0.00074     25.275	1.000   0.00091     57.050	1.000   0.00183    238.865
3.575	1.000   0.00073     25.290	1.000   0.00103     77.300	1.000   0.00179    232.915
3.600	0.995   0.00075     29.335	1.000   0.00106     73.415	1.000   0.00196    277.360
3.625	1.000   0.00076     27.470	1.000   0.00096     75.000	1.000   0.00203    307.560
3.650	0.985   0.00078     29.245	1.000   0.00099     79.120	1.000   0.00222    362.315
3.675	0.985   0.00073     29.600	1.000   0.00096     82.695	1.000   0.00257    420.900
3.700	0.990   0.00074     31.295	1.000   0.00102     98.625	1.000   0.00324    564.775
3.725	0.975   0.00072     33.085	1.000   0.00105     98.895	1.000   0.00393    644.060
3.750	0.970   0.00079     31.960	1.000   0.00121    105.600	1.000   0.00433    651.445
3.775	0.985   0.00079     32.555	1.000   0.00118    113.930	1.000   0.00556    853.080
3.800	0.970   0.00080     33.415	0.995   0.00119    124.715	1.000   0.00496    776.850
3.825	0.965   0.00078     36.525	0.985   0.00126    136.855	1.000   0.00614   1084.410
3.850	0.940   0.00081     39.110	0.995   0.00116    135.885	1.000   0.00645   1236.600
3.875	0.945   0.00074     38.810	0.990   0.00108    144.220	1.000   0.01071   2080.895
3.900	0.915   0.00075     39.990	0.975   0.00130    188.040	1.000   0.01083   2122.125
3.925	0.915   0.00071     40.895	0.975   0.00130    192.855	1.000   0.01219   2424.560
3.950	0.895   0.00078     41.140	0.965   0.00130    197.200	1.000   0.01576   3148.995
3.975	0.900   0.00070     40.065	0.940   0.00146    229.435	0.980   0.02736   5386.550
4.000	0.835   0.00073     47.690	0.935   0.00161    257.755	0.965   0.04140   8038.225
4.025	0.855   0.00077     45.005	0.895   0.00154    268.990	0.980   0.04376   8511.340
4.050	0.835   0.00072     46.995	0.875   0.00157    289.045	0.960   0.05973  11506.485
4.075	0.790   0.00073     47.725	0.865   0.00156    284.665	0.930   0.06376  12397.255
4.100	0.810   0.00073     48.140	0.810   0.00179    332.215	0.900   0.07351  14272.865
4.125	0.765   0.00074     49.195	0.800   0.00173    319.625	0.895   0.09532  18285.760
4.150	0.735   0.00076     53.025	0.705   0.00187    381.155	0.790   0.12496  23947.095
4.175	0.730   0.00070     49.185	0.695   0.00193    406.520	0.790   0.09816  19127.655
4.200	0.695   0.00082     52.710	0.745   0.00182    363.215	0.765   0.12869  24674.870
4.225	0.680   0.00073     51.620	0.625   0.00196    395.545	0.620   0.14823  28559.360
4.250	0.585   0.00082     56.915	0.570   0.00200    430.125	0.525   0.15718  30287.060
4.275	0.610   0.00069     54.610	0.520   0.00209    421.665	0.480   0.16491  31748.710
4.300	0.600   0.00086     55.235	0.435   0.00211    438.330	0.530   0.13517  26235.230
4.325	0.580   0.00084     56.175	0.510   0.00197    422.190	0.300   0.17735  34091.170
4.350	0.455   0.00073     58.755	0.420   0.00217    451.805	0.335   0.15728  30465.205
4.375	0.480   0.00079     57.545	0.345   0.00216    461.910	0.175   0.15578  30229.730
4.400	0.490   0.00071     54.020	0.385   0.00203    416.825	0.135   0.14524  28351.200
4.425	0.445   0.00077     58.605	0.280   0.00214    452.040	0.175   0.13826  26930.505
4.450	0.430   0.00072     55.665	0.240   0.00207    434.075	0.125   0.13275  25560.840
4.475	0.425   0.00091     54.690	0.245   0.00247    438.350	0.110   0.13618  23800.090
4.500	0.435   0.00075     57.020	0.165   0.00208    454.645	0.070   0.11711  23019.420
4.525	0.345   0.00082     60.925	0.190   0.00204    432.410	0.055   0.11408  22596.910
4.550	0.280   0.00079     58.885	0.150   0.00210    429.820	0.050   0.10633  21019.680
4.575	0.350   0.00082     55.895	0.125   0.00207    441.895	0.035   0.08519  17015.085
4.600	0.250   0.00079     57.180	0.105   0.00209    433.040	0.010   0.08795  17587.810
4.625	0.240   0.00081     57.335	0.065   0.00206    430.625	0.025   0.07949  15870.885
4.650	0.235   0.00081     56.560	0.050   0.00201    416.320	0.015   0.07628  15291.265
4.675	0.235   0.00086     56.495	0.070   0.00196    404.320	0.005   0.06719  13560.070
4.700	0.170   0.00076     59.690	0.055   0.00196    387.905	0.005   0.06385  12921.595
4.725	0.205   0.00081     54.285	0.040   0.00197    377.395	0.005   0.06127  12371.975
4.750	0.125   0.00079     57.610	0.045   0.00182    380.570	0.005   0.05736  11639.510
4.775	0.180   0.00076     53.680	0.035   0.00191    378.135	0.005   0.05493  11148.765
4.800	0.135   0.00077     53.950	0.035   0.00190    354.295	0.005   0.05374  10925.470
4.825	0.135   0.00077     54.110	0.005   0.00182    349.770	0.000   0.05040  10269.900
4.850	0.120   0.00083     53.545	0.010   0.00184    350.705	0.000   0.04629   9450.870
4.875	0.120   0.00076     55.290	0.015   0.00197    359.525	0.000   0.04331   8844.150
4.900	0.140   0.00081     52.295	0.015   0.00185    342.725	0.000   0.04363   8917.665
4.925	0.090   0.00067     51.060	0.010   0.00180    334.135	0.000   0.03907   8003.845
4.950	0.080   0.00066     50.040	0.010   0.00186    331.050	0.000   0.03558   7330.610
4.975	0.050   0.00073     52.575	0.020   0.00173    318.020	0.000   0.03689   7576.175
5.000	0.105   0.00071     52.530	0.000   0.00169    308.455	0.000   0.03450   7076.285
5.025	0.040   0.00074     51.570	0.005   0.00166    305.200	0.000   0.03336   6849.250
5.050	0.070   0.00079     50.710	0.020   0.00160    297.170	0.000   0.03013   6218.185
5.075	0.060   0.00074     49.805	0.000   0.00161    301.185	0.000   0.03026   6220.720
5.100	0.030   0.00077     48.680	0.005   0.00169    295.845	0.000   0.02807   5780.680
5.125	0.025   0.00076     47.715	0.000   0.00175    294.945	0.000   0.02729   5618.490
5.150	0.040   0.00070     48.055	0.005   0.00163    283.960	0.000   0.02609   5376.310
5.175	0.025   0.00067     46.685	0.000   0.00159    276.400	0.000   0.02668   5494.185
5.200	0.020   0.00049     48.445	0.000   0.00158    286.135	0.000   0.02371   4878.875
5.225	0.010   0.00061     46.545	0.000   0.00155    263.550	0.000   0.02239   4604.480
5.250	0.020   0.00065     46.365	0.000   0.00160    273.380	0.000   0.02205   4510.585
5.275	0.015   0.00093     45.385	0.000   0.00156    257.580	0.000   0.02131   4357.930
5.300	0.020   0.00100     46.335	0.000   0.00157    255.470	0.000   0.02043   4197.965
5.325	0.010   0.00121     44.650	0.000   0.00154    259.930	0.000   0.01977   4037.780
5.350	0.010   0.00066     43.220	0.000   0.00152    244.785	0.000   0.01966   4002.090
5.375	0.005   0.00095     42.870	0.000   0.00148    244.485	0.000   0.01934   3908.880
5.400	0.000   0.00080     44.410	0.000   0.00156    245.780	0.000   0.01800   3671.890
5.425	0.010   0.00080     42.385	0.000   0.00151    241.740	0.000   0.01820   3675.950
5.450	0.000   0.00081     42.050	0.000   0.00148    240.590	0.000   0.01709   3423.735
5.475	0.020   0.00084     43.795	0.000   0.00148    225.550	0.000   0.01645   3297.990
