1.250	0.902   0.00059      0.902	0.835   0.00058      0.835	0.725   0.00064      0.725	0.600   0.00072      0.600	0.278   0.00093      0.278
1.275	0.917   0.00060      0.917	0.772   0.00056      0.772	0.672   0.00064      0.672	0.482   0.00072      0.482	0.273   0.00097      0.273
1.300	0.855   0.00059      0.855	0.765   0.00061      0.765	0.623   0.00061      0.623	0.440   0.00068      0.440	0.168   0.00090      0.168
1.325	0.875   0.00055      0.875	0.703   0.00069      0.703	0.585   0.00065      0.585	0.407   0.00070      0.407	0.128   0.00085      0.128
1.350	0.858   0.00056      0.858	0.708   0.00058      0.708	0.527   0.00060      0.527	0.362   0.00076      0.362	0.095   0.00091      0.095
1.375	0.853   0.00057      0.853	0.690   0.00075      0.690	0.525   0.00065      0.525	0.300   0.00071      0.300	0.033   0.00097      0.033
1.400	0.797   0.00068      0.797	0.630   0.00061      0.630	0.400   0.00062      0.400	0.200   0.00068      0.200	0.028   0.00096      0.028
1.425	0.802   0.00076      0.802	0.575   0.00082      0.575	0.393   0.00078      0.393	0.160   0.00069      0.160	0.020   0.00098      0.020
1.450	0.760   0.00061      0.760	0.598   0.00067      0.598	0.390   0.00064      0.390	0.145   0.00072      0.145	0.000   0.00094      0.000
1.475	0.757   0.00062      0.757	0.565   0.00081      0.565	0.328   0.00067      0.328	0.100   0.00077      0.100	0.013   0.00095      0.013
1.500	0.735   0.00060      0.735	0.522   0.00067      0.522	0.292   0.00058      0.292	0.060   0.00071      0.060	0.000   0.00092      0.000
1.525	0.745   0.00061      0.745	0.480   0.00060      0.480	0.233   0.00066      0.233	0.050   0.00072      0.050	0.000   0.00092      0.000
1.550	0.695   0.00063      0.695	0.435   0.00068      0.435	0.155   0.00067      0.155	0.060   0.00068      0.060	0.000   0.00092      0.000
1.575	0.713   0.00067      0.713	0.417   0.00068      0.417	0.172   0.00062      0.172	0.028   0.00068      0.028	0.000   0.00090      0.000
1.600	0.680   0.00058      0.680	0.362   0.00064      0.362	0.147   0.00064      0.147	0.018   0.00066      0.018	0.000   0.00093      0.000
